Data;Al. USA - południe;Al. USA - południe Rower IN;Al. USA - południe Rower OUT;Al. USA - północ;Al. USA - północ Rower IN;Al. USA - północ Rower OUT;Banacha;Banacha_IN;Banacha_OUT;Bazyliańska;Bazylia?ska_IN;Bazylia?ska_OUT;Belwederska;Belwederska Rower IN;Belwederska Rower OUT;Dworzec Wilenski (al. Solidarności);Dworzec Wile?ski (Al. Solidarno?ci)_IN;Dworzec Wile?ski (Al. Solidarno?ci)_OUT;Dworzec Wileński Nowy( Targowa);Dworzec Wile?ski Nowy_IN;Dworzec Wile?ski Nowy_OUT;Marszałkowska;Marszałkowska Rower IN;Marszałkowska Rower OUT;Most Gdanski - ścieżka rowerowa;Most Gdański - ciąg pieszo-rowerowy;NSR - Solec - ciąg pieszo-rowerowy;NSR-Solec - ścieżka rowerowa;Praska sciezka rekreacyjna;Piesi;Rowery;Wybrzeże Helskie;Wybrzeże Helskie_nowy Wyb.Helskie IN;Wybrzeże Helskie_nowy Wyb. Helskie OUT;Wysockiego;Wysockiego_IN;Wysockiego_OUT;Świętokrzyska - Emilii Plater, płd;Świętokrzyska - Emilii Plater, płd Rower IN;Świętokrzyska - Emilii Plater, płd Rower OUT;Świętokrzyska - Emilii Plater, płn;Świętokrzyska - Emilii Plater, płn Rower IN;Świętokrzyska - Emilii Plater, płn Rower OUT;Żwirki i Wigury/Trojdena;Żwirki i Wigury/Trojdena Rower IN;Żwirki i Wigury/Trojdena Rower OUT;Żwirki i Wigury/Trojdena;Żwirki i Wigury/Trojdena Rower IN;Żwirki i Wigury/Trojdena Rower OUT
02-02-17 5:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;2;0;3;1;2;3;0;3;1;0;;1;0;0;0;3;1;2;2;0;2;1;1;0;1;0;1;1;0;1;0;0;0
02-02-17 6:00;3;2;1;0;0;0;8;6;2;0;0;0;3;1;2;3;3;0;4;3;1;2;0;2;5;0;;4;3;3;0;11;8;3;3;2;1;10;7;3;6;5;1;1;1;0;3;1;2
02-02-17 7:00;6;1;5;2;2;0;40;29;11;4;3;1;13;8;5;15;14;1;7;5;2;13;5;8;18;3;;10;1;1;0;13;8;5;1;0;1;15;13;2;14;13;1;27;16;11;3;2;1
02-02-17 8:00;3;0;3;0;0;0;51;33;18;0;0;0;20;14;6;22;15;7;5;1;4;12;4;8;15;1;;13;3;3;0;20;13;7;6;5;1;31;26;5;22;18;4;21;11;10;5;2;3
02-02-17 9:00;4;2;2;1;0;1;23;17;6;0;0;0;5;4;1;8;3;5;3;3;0;8;3;5;11;4;;1;1;1;0;14;11;3;1;1;0;20;12;8;17;15;2;5;3;2;1;0;1
02-02-17 10:00;0;0;0;0;0;0;7;4;3;0;0;0;1;0;1;2;2;0;2;1;1;7;3;4;4;0;;1;1;1;0;3;1;2;2;2;0;11;6;5;4;4;0;1;1;0;0;0;0
02-02-17 11:00;1;1;0;0;0;0;8;2;6;0;0;0;4;2;2;3;3;0;0;0;0;7;5;2;2;0;;1;2;2;0;4;2;2;1;1;0;19;10;9;9;7;2;0;0;0;1;1;0
02-02-17 12:00;0;0;0;0;0;0;12;7;5;1;1;0;7;1;6;1;1;0;0;0;0;3;1;2;8;0;;2;9;8;1;2;1;1;9;3;6;15;6;9;13;11;2;2;2;0;0;0;0
02-02-17 13:00;0;0;0;1;0;1;12;5;7;0;0;0;6;0;6;4;2;2;5;1;4;6;3;3;2;0;;1;9;6;3;2;1;1;3;2;1;13;5;8;8;6;2;7;7;0;3;1;2
02-02-17 14:00;3;0;3;0;0;0;7;3;4;0;0;0;7;2;5;8;4;4;5;2;3;12;4;8;3;8;;6;0;0;0;8;4;4;1;1;0;10;7;3;14;9;5;3;2;1;0;0;0
02-02-17 15:00;3;3;0;0;0;0;19;6;13;1;1;0;3;0;3;14;4;10;11;5;6;10;1;9;7;2;;12;12;12;0;15;6;9;6;1;5;16;11;5;16;12;4;9;3;6;0;0;0
02-02-17 16:00;6;3;3;0;0;0;42;11;31;0;0;0;18;5;13;16;2;14;5;2;3;6;1;5;11;2;;17;2;2;0;20;6;14;4;4;0;26;23;3;16;8;8;19;16;3;2;0;2
02-02-17 17:00;6;6;0;1;0;1;51;22;29;0;0;0;14;3;11;13;3;10;9;9;0;14;5;9;11;3;;11;6;3;3;18;6;12;7;3;4;26;14;12;17;14;3;18;14;4;2;0;2
02-02-17 18:00;5;1;4;1;1;0;29;8;21;0;0;0;7;0;7;10;3;7;7;3;4;6;3;3;4;3;;7;2;2;0;7;1;6;3;0;3;21;12;9;9;9;0;11;6;5;3;1;2
02-02-17 19:00;1;0;1;0;0;0;23;9;14;0;0;0;6;2;4;4;2;2;2;1;1;9;5;4;1;0;;4;0;0;0;7;3;4;2;0;2;14;11;3;15;8;7;6;2;4;0;0;0
02-02-17 20:00;0;0;0;1;1;0;5;3;2;0;0;0;2;0;2;6;1;5;5;2;3;0;0;0;2;2;;2;1;1;0;1;0;1;3;3;0;7;4;3;6;3;3;6;2;4;1;0;1
02-02-17 21:00;9;4;5;0;0;0;6;3;3;0;0;0;4;0;4;2;0;2;0;0;0;4;2;2;1;0;;1;3;3;0;3;1;2;0;0;0;5;2;3;8;7;1;2;1;1;0;0;0
02-02-17 22:00;0;0;0;0;0;0;5;1;4;0;0;0;0;0;0;1;0;1;0;0;0;4;2;2;0;0;;1;2;2;0;3;0;3;0;0;0;10;6;4;3;0;3;1;0;1;0;0;0
02-02-17 23:00;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;2;2;0;0;;0;0;0;0;0;0;0;0;0;0;4;3;1;3;2;1;1;1;0;0;0;0
03-02-17 0:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 1:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 2:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 3:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 4:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 5:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 6:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 7:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 8:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 9:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 10:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 12:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 13:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 14:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 15:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 16:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 17:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 20:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 21:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 22:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-02-17 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
