"","Data","startTyg","temp_min","temp_avg","temp_max","deszcz","snieg","Jaki_dzien","Wolne","Rodzaj_opadu","Miejsce","Liczba_rowerow"
"49",2018-11-03,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Smoleńsk",272
"50",2018-11-03,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Tyniecka",327
"51",2018-11-03,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Wadowicka",177
"52",2018-11-03,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Wielicka",228
"53",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Bora-Komorowskiego",193
"54",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Bulwary",542
"55",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Dworzec Główny",226
"56",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Klimeckiego",260
"57",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Kopernika",544
"58",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Kotlarska",364
"59",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Mogilska",581
"60",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Monte Cassino",435
"61",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Nowohucka",137
"62",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Smoleńsk",267
"63",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Tyniecka",477
"64",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Wadowicka",217
"65",2018-11-04,2018-10-29,NA,NA,NA,NA,NA,"weekend",TRUE,NA,"Wielicka",210
