"Data","temp_max","temp_min","temp_avg","opad","rodzaj","deszcz","snieg"
2020-05-01,18.2,6.6,11,19.2,"W",19.2,0
2020-05-02,16.9,5.2,12,0,"W",0,0
2020-05-03,14.2,6,10.4,0,"",0,0
2020-05-04,16.7,4.8,11.6,0.2,"W",0.2,0
2020-05-05,13.8,5.9,8,6.4,"W",6.4,0
2020-05-06,12.5,6.1,9,5.4,"W",5.4,0
2020-05-07,16.9,2.9,10.6,0,"",0,0
2020-05-08,18.3,7.5,13.3,0,"",0,0
2020-05-09,20.3,6.7,14.7,0,"",0,0
2020-05-10,24.1,9.1,17.6,0.8,"W",0.8,0
2020-05-11,25.4,11.4,16.7,8,"S",0,8
2020-05-12,11.6,1,5.9,0,"S",0,0
2020-05-13,13.8,3.8,8.9,0.7,"W",0.7,0
2020-05-14,14.1,6.6,9.9,0.2,"W",0.2,0
2020-05-15,15.3,2.4,10.3,0,"",0,0
2020-05-16,14,6.1,10.5,0,"",0,0
2020-05-17,17.2,4.6,11.8,0,"",0,0
2020-05-18,16.8,8.7,13.1,1.3,"W",1.3,0
2020-05-19,17.3,11.3,13.2,0.4,"W",0.4,0
2020-05-20,15.8,5.8,10.8,0,"",0,0
2020-05-21,14.8,2.7,9.3,0,"",0,0
2020-05-22,16.8,2.3,9.9,0,"",0,0
2020-05-23,18.2,3.4,12.7,7.4,"W",7.4,0
2020-05-24,18.2,10.4,12.7,0.1,"W",0.1,0
2020-05-25,17,9.1,12,4,"W",4,0
2020-05-26,19,8.7,13.6,0,"",0,0
2020-05-27,20.5,7.9,14.6,0,"",0,0
2020-05-28,20.4,8,15.1,0,"",0,0
2020-05-29,18.6,10.6,14.7,0,"W",0,0
2020-05-30,17.4,9.8,12,13.2,"W",13.2,0
2020-05-31,20.6,10.6,16.2,0,"",0,0
2020-06-01,19.7,11.7,15.5,0.2,"W",0.2,0
2020-06-02,19.5,8.8,14.6,0,"W",0,0
2020-06-03,17.2,8.6,13,0.1,"W",0.1,0
2020-06-04,20.9,6.4,14.7,0,"",0,0
2020-06-05,21.5,12.2,16.2,4.7,"W",4.7,0
2020-06-06,24.1,11.6,18.2,3.5,"W",3.5,0
2020-06-07,26.5,14.1,19.7,5.3,"W",5.3,0
2020-06-08,22.7,14.1,16.3,0,"W",0,0
2020-06-09,18.1,12.6,15.2,3.2,"W",3.2,0
2020-06-10,22.7,14.2,17.7,18,"W",18,0
2020-06-11,25.8,17.1,20.8,0.5,"W",0.5,0
2020-06-12,30.4,16,24,0,"",0,0
2020-06-13,28.3,19.9,22.9,0,"",0,0
2020-06-14,22.6,16.1,17.6,0,"",0,0
2020-06-15,22.1,11.7,17.4,0,"",0,0
2020-06-16,24.2,11.9,19.3,0,"",0,0
2020-06-17,28,16.1,20,10.2,"W",10.2,0
2020-06-18,25.1,16.5,20.6,25.5,"W",25.5,0
2020-06-19,26.8,16.5,20.8,3.7,"W",3.7,0
2020-06-20,24.3,17.3,20,18.5,"W",18.5,0
2020-06-21,25.6,17,19.8,3.1,"W",3.1,0
2020-06-22,23,17.7,19.3,41,"W",41,0
2020-06-23,23.8,15.2,18.3,6,"W",6,0
2020-06-24,21.8,15.6,18.5,5.6,"W",5.6,0
2020-06-25,27.5,18.3,22.7,0,"",0,0
2020-06-26,27.8,16.7,22.2,0.9,"W",0.9,0
2020-06-27,26.1,17,21,2,"W",2,0
2020-06-28,29.3,18.4,24.3,0,"",0,0
2020-06-29,27.3,16.6,20.7,13.7,"W",13.7,0
2020-06-30,24.2,15,19.3,0,"",0,0
2020-07-01,26.9,14.6,21.4,5.8,"W",5.8,0
2020-07-02,26.4,17.2,21.8,0.7,"W",0.7,0
2020-07-03,24.9,18.7,20.6,1.2,"W",1.2,0
2020-07-04,25.5,15,20.6,0,"",0,0
2020-07-05,28.5,16.2,23,0,"",0,0
2020-07-06,27.2,17.9,21.2,1.1,"W",1.1,0
2020-07-07,20,13.7,15.9,0,"",0,0
2020-07-08,18.5,8.6,14.5,0,"",0,0
2020-07-09,21.5,11.6,16.8,1.8,"W",1.8,0
2020-07-10,27.8,15.7,21.7,22.6,"W",22.6,0
2020-07-11,24.6,13.8,14.9,3.3,"W",3.3,0
2020-07-12,20.3,10.9,15.5,0,"",0,0
