"Data","temp_max","temp_min","temp_avg","opad","rodzaj","deszcz","snieg"
2018-01-01,9.6,2.8,7.5,0,"W",0,0
2018-01-02,6.9,-1.4,1.2,0,"W",0,0
2018-01-03,5.4,2,3.3,2.4,"W",2.4,0
2018-01-04,8,2.1,5.7,0.2,"W",0.2,0
2018-01-05,8.9,3.2,6.1,0.2,"W",0.2,0
2018-01-06,9.1,3.3,5.4,0,"W",0,0
2018-01-07,4.2,-0.1,1.8,0,"W",0,0
2018-01-08,0.7,-6.7,-3,0,"",0,0
2018-01-09,1.7,-6.9,-2.1,0,"",0,0
2018-01-10,1.5,-0.3,0.1,0,"",0,0
2018-01-11,1.7,-1.5,0.3,0.2,"S",0,0.2
2018-01-12,0.1,-2.4,-1.6,0,"",0,0
2018-01-13,-0.8,-3.6,-2.5,0,"",0,0
2018-01-14,-3.2,-6.5,-5.5,0,"W",0,0
2018-01-15,-5,-6.7,-6.2,0,"W",0,0
2018-01-16,-2.5,-8.7,-5.2,3.9,"S",0,3.9
2018-01-17,2.3,-3.2,0.3,0.8,"S",0,0.8
2018-01-18,2.8,-0.1,1,9.2,"S",0,9.2
2018-01-19,1.7,-0.2,0.8,0.8,"S",0,0.8
2018-01-20,1.3,-0.3,0.2,1,"S",0,1
2018-01-21,0.5,-2.8,-1.4,0,"W",0,0
2018-01-22,-1.1,-5,-4,0,"W",0,0
2018-01-23,-3.4,-7,-4.9,0,"",0,0
2018-01-24,3,-5.7,-0.5,0.8,"W",0.8,0
2018-01-25,6.6,1.7,4.1,0,"",0,0
2018-01-26,5.1,-0.6,1.1,0,"",0,0
2018-01-27,2.9,-2.8,1.3,0.5,"W",0.5,0
2018-01-28,6.3,1.5,4.1,2,"W",2,0
2018-01-29,10.1,6,8.1,6.7,"W",6.7,0
2018-01-30,9.5,3.1,4.8,0,"W",0,0
2018-01-31,6.1,0.5,3.6,1.1,"W",1.1,0
2018-02-01,5.3,2.8,4.2,5.1,"S",0,5.1
2018-02-02,4.7,0.8,1.6,0,"",0,0
2018-02-03,1.9,-2.6,-0.5,0,"",0,0
2018-02-04,0.9,-2.6,-0.8,0.2,"S",0,0.2
2018-02-05,-0.2,-6.6,-3.5,0.1,"S",0,0.1
2018-02-06,-2.1,-6.3,-4.9,0,"",0,0
2018-02-07,0.5,-9.4,-4.5,0.9,"S",0,0.9
2018-02-08,-0.4,-2.5,-1.6,0,"W",0,0
2018-02-09,-1.4,-3.7,-3,0,"W",0,0
2018-02-10,-2,-4.7,-3.6,0,"W",0,0
2018-02-11,0,-5,-2.1,0,"W",0,0
2018-02-12,2.1,-1.7,-0.2,0,"W",0,0
2018-02-13,3.1,-4.9,-0.3,0,"W",0,0
2018-02-14,1.2,-0.9,-0.3,0.4,"S",0,0.4
2018-02-15,-0.6,-4.2,-2.9,0,"W",0,0
2018-02-16,2,-2.7,-0.2,0.1,"S",0,0.1
2018-02-17,2.1,-0.6,0.8,0,"W",0,0
2018-02-18,2.2,-1.7,0.1,0,"W",0,0
2018-02-19,2.1,-1.6,0.3,0,"",0,0
2018-02-20,2.8,-5.6,-1,0,"",0,0
2018-02-21,0.6,-5.3,-2.7,0,"",0,0
2018-02-22,-2.3,-8.4,-5.8,0,"W",0,0
2018-02-23,-2.2,-8.2,-6.1,0.3,"S",0,0.3
2018-02-24,-5.4,-10.2,-7.6,0.1,"S",0,0.1
2018-02-25,-7.6,-15.2,-10.9,0,"W",0,0
2018-02-26,-9.7,-11.7,-11,0,"W",0,0
2018-02-27,-8.5,-15.3,-11.8,0,"W",0,0
2018-02-28,-6.8,-13.5,-11,0,"W",0,0
