"","Data","startTyg","al. Solidarności/Dworzec Wileński","al. Stanów Zjednoczonych - suma","al. Stanów Zjednoczonych N","al. Stanów Zjednoczonych S","Aleje Jerozolimskie/pl. Zawiszy - suma","Aleje Jerozolimskie/pl. Zawiszy N","Aleje Jerozolimskie/pl. Zawiszy S","Banacha/Żwirki i Wigury","Bazyliańska/Wysockiego","Belwederska","Bystra/Radzymińska","Czerniakowska - suma","Czerniakowska E","Czerniakowska W","Jagiellońska","Marsa","Marszałkowska/Metro Świętokrzyska","NSR Most Gdański - suma","NSR Most Gdański CPR","NSR Most Gdański DDR","NSR Solec - suma","NSR Solec CPR","NSR Solec DDR","Okopowa/rondo Radosława","Praska ścieżka rekreacyjna","Przyczółkowa/al. Wilanowska","Radzymińska/Jórskiego","Szaserów - suma","Szaserów N","Szaserów S","Świętokrzyska/Emilii Plater - suma","Świętokrzyska/Emilii Plater N","Świętokrzyska/Emilii Plater S","Świętokrzyska/Zielna (display)","Targowa/Dworzec Wileński","Towarowa/Łucka","Wiertnicza","Wybrzeże Helskie/Starzyńskiego","Wysockiego","Żwirki i Wigury/1 Sierpnia","Żwirki i Wigury/Trojdena - suma","Żwirki i Wigury/Trojdena E","Żwirki i Wigury/Trojdena W","temp_min","temp_avg","temp_max","deszcz","snieg","Rodzaj_opadu","Jaki_dzien","Wolne"
"24",2014-09-05,2014-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158,0,1158,644,166,478,NA,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,15,21.2,0,0,"s","roboczy",FALSE
"25",2014-09-06,2014-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2357,0,2357,1310,618,692,NA,1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,16.2,23.2,0,0,"s","weekend",TRUE
"26",2014-09-07,2014-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2616,0,2616,1709,867,842,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,18,24.6,0,0,"s","weekend",TRUE
"27",2014-09-08,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013,0,1013,468,100,368,NA,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,18.7,26,1.6,0,"d","roboczy",FALSE
"28",2014-09-09,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828,0,828,354,69,285,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,17.3,21.8,0,0,"s","roboczy",FALSE
"29",2014-09-10,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008,0,1008,1982,1619,363,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,14.6,18.5,0,0,"s","roboczy",FALSE
"30",2014-09-11,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477,0,477,295,61,234,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,15.4,17.6,0.4,0,"d","roboczy",FALSE
"31",2014-09-12,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276,0,1276,650,191,459,NA,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,20.4,26.3,0,0,"s","roboczy",FALSE
"32",2014-09-13,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2531,0,2531,2485,1075,1410,NA,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,20.4,26.8,0,0,"s","weekend",TRUE
"33",2014-09-14,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3122,0,3122,2196,933,1263,NA,1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,20.5,26.6,0,0,"s","weekend",TRUE
"34",2014-09-15,2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210,108,1102,608,154,454,NA,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,17.7,23.4,0,0,"s","roboczy",FALSE
"35",2014-09-16,2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077,579,498,607,123,484,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,14.5,19.9,0,0,"s","roboczy",FALSE
"36",2014-09-17,2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1115,776,339,568,126,442,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,14.6,20.7,0,0,"s","roboczy",FALSE
"37",2014-09-18,2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089,822,267,559,141,418,NA,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,15.9,23,0,0,"s","roboczy",FALSE
"38",2014-09-19,2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029,579,450,497,127,370,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,15.8,21.8,0.6,0,"d","roboczy",FALSE
"39",2014-09-20,2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1456,605,851,761,298,463,NA,703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,16.4,20.8,0,0,"s","weekend",TRUE
"40",2014-09-21,2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,378,474,408,153,255,NA,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,14.7,18.3,1,0,"d","weekend",TRUE
"41",2014-09-22,2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,145,277,211,34,177,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,13.5,16.2,1.4,0,"d","roboczy",FALSE
"42",2014-09-23,2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,76,217,155,20,135,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9.4,13.6,1.2,0,"d","roboczy",FALSE
"43",2014-09-24,2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,193,548,340,76,264,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,8.1,14,0,0,"s","roboczy",FALSE
"44",2014-09-25,2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542,144,398,290,53,237,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10.8,16.9,0.8,0,"d","roboczy",FALSE
"45",2014-09-26,2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618,112,506,323,74,249,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,11.1,15.2,0.6,0,"d","roboczy",FALSE
"46",2014-09-27,2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1291,361,930,567,215,352,NA,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,13.2,17.7,0,0,"s","weekend",TRUE
"47",2014-09-28,2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2291,688,1603,1097,438,659,NA,846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,18.4,0,0,"s","weekend",TRUE
